year,month,gender,births
1980,8,M,165794
1980,9,F,156379
1980,9,M,164691
1980,10,F,152016
1980,10,M,159780
1980,11,F,141570
1980,11,M,148525
1980,12,F,148226
1980,12,M,155368
1981,1,F,143895
1981,1,M,151190
1981,2,F,134085
1981,2,M,139557
1981,3,F,147065
1981,3,M,155093
1981,4,F,139155
1981,4,M,146812
1981,5,F,144881
1981,5,M,151960
1981,6,F,144843
1981,6,M,153579
1981,7,F,158860
1981,7,M,167905
1981,8,F,161180
1981,8,M,169345
1981,9,F,156678
1981,9,M,163899
1981,10,F,151134
1981,10,M,158542
1981,11,F,141817
1981,11,M,149567
1981,12,F,148429
1981,12,M,156009
1982,1,F,146033
1982,1,M,152302
1982,2,F,135137
1982,2,M,142177
1982,3,F,149263
1982,3,M,156955
1982,4,F,142237
1982,4,M,149596
1982,5,F,149270
1982,5,M,157376
1982,6,F,150231
1982,6,M,158005
1982,7,F,160286
1982,7,M,168662
1982,8,F,160912
1982,8,M,168697
1982,9,F,159153
1982,9,M,167902
1982,10,F,153476
1982,10,M,160884
1982,11,F,144502
1982,11,M,151819
1982,12,F,146707
1982,12,M,153792
1983,1,F,145415
1983,1,M,152596
1983,2,F,135292
1983,2,M,141975
1983,3,F,151798
1983,3,M,159411
1983,4,F,142873
1983,4,M,151330
1983,5,F,147943
1983,5,M,155589
1983,6,F,147427
1983,6,M,156795
1983,7,F,154812
1983,7,M,163478
1983,8,F,158257
1983,8,M,166139
1983,9,F,153539
1983,9,M,161291
1983,10,F,149305
1983,10,M,156819
1983,11,F,142292
1983,11,M,148978
1983,12,F,146309
1983,12,M,153068
1984,1,F,142954
1984,1,M,149572
1984,2,F,137639
1984,2,M,144259
1984,3,F,148560
1984,3,M,155777
1984,4,F,139795
1984,4,M,146329
1984,5,F,145853
1984,5,M,153875
1984,6,F,144896
1984,6,M,154320
1984,7,F,158994
1984,7,M,166911
1984,8,F,163731
1984,8,M,171930
1984,9,F,159622
1984,9,M,167280
1984,10,F,157098
1984,10,M,164641
1984,11,F,144921
1984,11,M,152253
1984,12,F,147722
1984,12,M,154599
1985,1,F,148765
1985,1,M,155652
1985,2,F,137341
1985,2,M,144235
1985,3,F,152216
1985,3,M,158807
1985,4,F,146819
1985,4,M,155307
1985,5,F,154143
1985,5,M,163867
1985,6,F,150042
1985,6,M,158820
1985,7,F,162476
1985,7,M,171435
1985,8,F,164067
1985,8,M,172951
1985,9,F,161845
1985,9,M,169830
1985,10,F,157734
1985,10,M,165643
1985,11,F,147142
1985,11,M,154785
1985,12,F,152180
1985,12,M,158952
1986,1,F,149739
1986,1,M,156777
1986,2,F,137982
1986,2,M,144803
1986,3,F,152375
1986,3,M,160371
1986,4,F,148702
1986,4,M,155748
1986,5,F,154110
1986,5,M,162209
1986,6,F,149428
1986,6,M,158583
1986,7,F,163100
1986,7,M,171811
1986,8,F,162777
1986,8,M,171487
1986,9,F,163127
1986,9,M,171455
1986,10,F,155924
1986,10,M,163547
1986,11,F,143396
1986,11,M,150175
1986,12,F,153042
1986,12,M,160014
1987,1,F,149015
1987,1,M,156319
1987,2,F,138085
1987,2,M,145675
1987,3,F,155271
1987,3,M,162509
1987,4,F,149993
1987,4,M,158072
1987,5,F,156011
1987,5,M,164100
1987,6,F,156460
1987,6,M,164897
1987,7,F,163918
1987,7,M,172800
1987,8,F,162159
1987,8,M,169529
1987,9,F,163205
1987,9,M,171230
1987,10,F,159561
1987,10,M,167173
1987,11,F,149775
1987,11,M,156882
1987,12,F,156656
1987,12,M,163916
1988,1,F,151574
1988,1,M,158926
1988,2,F,146078
1988,2,M,152673
1988,3,F,157199
1988,3,M,165042
1988,4,F,150505
1988,4,M,158957
1988,5,F,158351
1988,5,M,167929
1988,6,F,160399
1988,6,M,168821
1988,7,F,169150
1988,7,M,177681
1988,8,F,173088
1988,8,M,181511
1988,9,F,169923
1988,9,M,177354
1988,10,F,162361
1988,10,M,169271
1988,11,F,153134
1988,11,M,161532
1988,12,F,157444
1988,12,M,164883
1989,1,F,156749
1989,1,M,164052
1989,2,F,146710
1989,2,M,154047
1989,3,F,165889
1989,3,M,174433
1989,4,F,155689
1989,4,M,163432
1989,5,F,163800
1989,5,M,172892
1989,6,F,165525
1989,6,M,173823
1989,7,F,174054
1989,7,M,183063
1989,8,F,178986
1989,8,M,188074
1989,9,F,174808
1989,9,M,182962
1989,10,F,168303
1989,10,M,176258
1989,11,F,159013
1989,11,M,166923
1989,12,F,164186
1989,12,M,172022
1990,1,F,163576
1990,1,M,172073
1990,2,F,153015
1990,2,M,159915
1990,3,F,171463
1990,3,M,179499
1990,4,F,164469
1990,4,M,172275
1990,5,F,173127
1990,5,M,181366
1990,6,F,168941
1990,6,M,178799
1990,7,F,179270
1990,7,M,188837
1990,8,F,181845
1990,8,M,191101
1990,9,F,175292
1990,9,M,183840
1990,10,F,172365
1990,10,M,181247
1990,11,F,163036
1990,11,M,170515
1990,12,F,164567
1990,12,M,172484
1991,1,F,164305
1991,1,M,171198
1991,2,F,151260
1991,2,M,158163
1991,3,F,167751
1991,3,M,176650
1991,4,F,163778
1991,4,M,172218
1991,5,F,172728
1991,5,M,180764
1991,6,F,163048
1991,6,M,171594
1991,7,F,177698
1991,7,M,185629
1991,8,F,179729
1991,8,M,187491
1991,9,F,174362
1991,9,M,181999
1991,10,F,171490
1991,10,M,177890
1991,11,F,158692
1991,11,M,165320
1991,12,F,166760
1991,12,M,174825
1992,1,F,162874
1992,1,M,171502
1992,2,F,154333
1992,2,M,161410
1992,3,F,165468
1992,3,M,174389
1992,4,F,162792
1992,4,M,170879
1992,5,F,167941
1992,5,M,176584
1992,6,F,165818
1992,6,M,174250
1992,7,F,175090
1992,7,M,184407
1992,8,F,171095
1992,8,M,178271
1992,9,F,169543
1992,9,M,178412
1992,10,F,167907
1992,10,M,176076
1992,11,F,157342
1992,11,M,164949
1992,12,F,164915
1992,12,M,173181
1993,1,F,157524
1993,1,M,165896
1993,2,F,148569
1993,2,M,156378
1993,3,F,167013
1993,3,M,175505
1993,4,F,159698
1993,4,M,167674
1993,5,F,163377
1993,5,M,172991
1993,6,F,163769
1993,6,M,171934
1993,7,F,171888
1993,7,M,181061
1993,8,F,171785
1993,8,M,179521
1993,9,F,170167
1993,9,M,178232
1993,10,F,162794
1993,10,M,170519
1993,11,F,154679
1993,11,M,162072
1993,12,F,162193
1993,12,M,169284
1994,1,F,157015
1994,1,M,163982
1994,2,F,147453
1994,2,M,154175
1994,3,F,165797
1994,3,M,174281
